Requirements for the B.S. in Biomedical Engineering: Premedical,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/#minortext,Requirements for the B.S. in Biomedical Engineering: Premedical
Requirements for the Minor in Biomedical Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/#minortext,Requirements for the Minor in Biomedical Engineering
Requirements for the B.A. in African American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofafricanamericanstudies/#majortext,"African American Studies, B.A."
Requirements for the Minor in African American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofafricanamericanstudies/#majortext,Requirements for the Minor in African American Studies
Requirements for the B.A. in Art History,http://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/#majortext,"Art History, B.A."
Requirements for the Minor in Archaeology,http://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/#majortext,Requirements for the Minor in Archaeology
Requirements for the Minor in Art History,http://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/#majortext,Requirements for the Minor in Art History
Requirements for the B.A. in Asian American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/#majortext,"Asian American Studies, B.A."
Requirements for the Minor in Asian American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/#majortext,Requirements for the Minor in Asian American Studies
Requirements for the B.A. in Chinese Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,"Chinese Studies, B.A."
Requirements for the B.A. in Japanese Language and Literature,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,"Japanese Language and Literature, B.A."
Requirements for the B.A. in East Asian Cultures,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the B.A. in East Asian Cultures
Requirements for the B.A. in Korean Literature and Culture,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the B.A. in Korean Literature and Culture
Requirements for the Chinese Language and Literature Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the Chinese Language and Literature Minor
Requirements for the Minor in Chinese Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the Minor in Chinese Studies
Requirements for the Japanese Language and Literature Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the Japanese Language and Literature Minor
Requirements for the Minor in Japanese Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the Minor in Japanese Studies
Requirements for the Korean Literature and Culture Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#majorstext,Requirements for the Korean Literature and Culture Minor
Requirements for the B.A. in Classics,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#majortext,"Classics, B.A."
Requirements for the Minor in Greek,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#majortext,Requirements for the Minor in Greek
Requirements for the Minor in Latin,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#majortext,Requirements for the Minor in Latin
Requirements for the Minor in Classical Civilization,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#majortext,Requirements for the Minor in Classical Civilization
Requirements for the B.A. in Comparative Literature,http://catalogue.uci.edu/schoolofhumanities/departmentofcomparativeliterature/#majortext,"Comparative Literature, B.A."
Requirements for the B.A. in English,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#majorstext,"English, B.A."
Requirements for the B.A. in English with a Specialization in English for Future Teachers,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#majorstext,Requirements for the B.A. in English with a Specialization in English for Future Teachers
Requirements for the B.A. in Literary Journalism,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#majorstext,Requirements for the B.A. in Literary Journalism
Departmental Requirements for the English Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#majorstext,Departmental Requirements for the English Minor
Departmental Requirements for the Literary Journalism Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#majorstext,Departmental Requirements for the Literary Journalism Minor
Requirements for the B.A. in European Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeuropeanlanguagesandstudies/#newitemtext,"European Studies, B.A."
